# sorteny_fq_calibration_tsv_v1
# model	mse=c0+c1/(mod_a*lambda+mod_b)^2
# sweep	<repo>/output/checkpoints/20260613_lambda005_recalibration_audit/sweeps/canonical/sweep_results.json
# weights	<repo>/weights/encoder
# max_lambda	0.05
# q_min	64
# q_max	255
# q_baseline	204
# mod_a	884.459481
# mod_b	13.9541889
# mod_r2	1
block_y	block_x	c0	c1	r2	valid	q_baseline	q_min	q_max	max_lambda	mod_a	mod_b	mse_at_baseline
0	0	9.103944992798603	295988.1868402453	0.9980264548082111	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.7244852983306
0	1	25.561533184321604	281791.6524340656	0.9986311220863955	1	204	64	255	0.05	884.4594814498472	13.954188939546285	141.34876573734675
0	2	26.902810656932587	243838.10720951587	0.9954991634544532	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.09506043042013
0	3	23.65909540798964	252129.0273353864	0.9966797168612264	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.25805609147245
0	4	46.807237142157504	269910.2720543339	0.9926622855928989	1	204	64	255	0.05	884.4594814498472	13.954188939546285	157.71245086603778
0	5	44.77495310630229	289471.9969044868	0.993222630384882	1	204	64	255	0.05	884.4594814498472	13.954188939546285	163.71801310702685
0	6	67.32891910370171	385073.33976864954	0.9961363295172653	1	204	64	255	0.05	884.4594814498472	13.954188939546285	225.5542460664838
0	7	45.49731500840204	289597.62805847084	0.9933134709273469	1	204	64	255	0.05	884.4594814498472	13.954188939546285	164.49199642344672
0	8	33.67588666443166	234077.3735521414	0.993867990685234	1	204	64	255	0.05	884.4594814498472	13.954188939546285	129.8574841417551
0	9	12.079861049311944	259640.7772908757	0.997416193267375	1	204	64	255	0.05	884.4594814498472	13.954188939546285	118.76537426713544
0	10	26.421072490206	296101.5770056403	0.9973260675263642	1	204	64	255	0.05	884.4594814498472	13.954188939546285	148.0882044294376
0	11	13.974472143454165	301269.77724291047	0.9974347458368965	1	204	64	255	0.05	884.4594814498472	13.954188939546285	137.76520000039457
0	12	12.438937167488888	295931.24228376144	0.9989240114822578	1	204	64	255	0.05	884.4594814498472	13.954188939546285	134.03607914823988
0	13	7.8169333720421434	303540.63711836404	0.9960481749382212	1	204	64	255	0.05	884.4594814498472	13.954188939546285	132.54074983619742
0	14	19.899941927460986	283431.3212480382	0.9982866050392567	1	204	64	255	0.05	884.4594814498472	13.954188939546285	136.36090882511087
0	15	10.31795539922092	297092.08843003487	0.9987019594915965	1	204	64	255	0.05	884.4594814498472	13.954188939546285	132.39208511731553
0	16	24.33396052367442	308714.84711144236	0.9952238956349495	1	204	64	255	0.05	884.4594814498472	13.954188939546285	151.18384229378097
0	17	23.087724839852342	318730.72438184754	0.9968349094483563	1	204	64	255	0.05	884.4594814498472	13.954188939546285	154.05309654982614
0	18	17.503578699326596	286365.2711534466	0.9962643855525392	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.1700956445455
0	19	12.339480849876537	300107.5194390288	0.9985260427368489	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.65264092415845
0	20	8.639530959944068	294891.0395777569	0.9949787813692406	1	204	64	255	0.05	884.4594814498472	13.954188939546285	129.80925718305258
0	21	4.439743064632097	285901.9752955878	0.9982667267659718	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.9158933159785
0	22	5.7200605357066365	305063.97897859616	0.9975112952015204	1	204	64	255	0.05	884.4594814498472	13.954188939546285	131.06981299443407
0	23	13.213836895444473	296555.9747495404	0.9949924721046941	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.06767932375573
0	24	20.09700045087709	279740.459525148	0.9968824542110928	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.0414048068834
0	25	13.09395978292119	296985.72936252516	0.9967718078558155	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.12438692154797
0	26	12.497757547063657	284780.86076297256	0.9979524678917987	1	204	64	255	0.05	884.4594814498472	13.954188939546285	129.51324564612406
0	27	8.454748842748671	274487.36098689	0.9974087810587863	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.2406728576258
0	28	16.06928934231871	287069.0993505192	0.9951275785476242	1	204	64	255	0.05	884.4594814498472	13.954188939546285	134.0250069023461
0	29	4.930879551909385	290341.19644363376	0.9953979722299885	1	204	64	255	0.05	884.4594814498472	13.954188939546285	124.23109069002521
0	30	9.246385340140051	281034.577266342	0.9985991485319624	1	204	64	255	0.05	884.4594814498472	13.954188939546285	124.72253827903133
0	31	16.598865094239073	269836.84513003286	0.997659917232674	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.47390794440378
1	0	27.268857013612944	286759.5220785353	0.9977711546507889	1	204	64	255	0.05	884.4594814498472	13.954188939546285	145.09737032442035
1	1	28.205418136114844	273886.7203643267	0.9955925376844783	1	204	64	255	0.05	884.4594814498472	13.954188939546285	140.74454095995316
1	2	52.02121408163612	286687.6996387352	0.9943049298970519	1	204	64	255	0.05	884.4594814498472	13.954188939546285	169.8202157959579
1	3	45.50196274728191	263282.2885334389	0.9908409863942488	1	204	64	255	0.05	884.4594814498472	13.954188939546285	153.68376056205875
1	4	29.971190539363306	223896.0851123683	0.9959601890222746	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.9693311893371
1	5	57.6581496676522	297184.3533439242	0.991858783975665	1	204	64	255	0.05	884.4594814498472	13.954188939546285	179.77019072537917
